Cell Number,Probability of Stability,Distance from Crest
1,0.2679800906703445,1.0416666666666667
2,0.7220138732261766,3.125
3,0.935803393669364,5.208333333333333
4,0.9671085162424152,7.291666666666667
5,0.9878979046745904,9.375000000000002
6,0.9985405491341602,11.458333333333334
7,0.9997181701920509,13.541666666666668
8,0.9999023822727341,15.625000000000002
10,0.9999978842306185,19.791666666666668
12,0.9999996055173267,23.958333333333332
17,1.0,34.37500000000001
21,1.0,42.708333333333336
24,1.0,48.958333333333336
26,1.0,53.12500000000001
49,1.0,101.04166666666667
